,Load,Price
2017-12-31 00:00:00,20508.0,43.5
2017-12-31 01:00:00,19399.0,40.1
2017-12-31 02:00:00,19041.0,36.5
2017-12-31 03:00:00,19117.0,36.5
2017-12-31 04:00:00,19623.0,38.0
2017-12-31 05:00:00,20950.0,37.77
2017-12-31 06:00:00,22315.0,45.0
2017-12-31 07:00:00,23879.0,45.18
2017-12-31 08:00:00,25579.0,45.18
2017-12-31 09:00:00,26536.0,44.0
2017-12-31 10:00:00,26343.0,44.24
2017-12-31 11:00:00,25976.0,44.0
2017-12-31 12:00:00,25330.0,38.64
2017-12-31 13:00:00,25855.0,40.63
2017-12-31 14:00:00,26761.0,44.84
2017-12-31 15:00:00,28506.0,46.68
2017-12-31 16:00:00,32437.0,51.68
2017-12-31 17:00:00,32795.0,51.68
2017-12-31 18:00:00,31966.0,51.68
2017-12-31 19:00:00,29511.0,50.0
2017-12-31 20:00:00,26916.0,47.89
2017-12-31 21:00:00,24953.0,45.18
2017-12-31 22:00:00,23441.0,40.1
2017-12-31 23:00:00,23071.0,45.73
2018-01-01 00:00:00,22305.0,44.16
2018-01-01 01:00:00,20971.0,42.24
2018-01-01 02:00:00,19875.0,39.29
2018-01-01 03:00:00,19074.0,36.0
2018-01-01 04:00:00,19346.0,41.99
2018-01-01 05:00:00,20168.0,42.25
2018-01-01 06:00:00,20810.0,44.97
2018-01-01 07:00:00,21102.0,45.0
2018-01-01 08:00:00,22429.0,44.94
2018-01-01 09:00:00,24334.0,45.04
2018-01-01 10:00:00,26221.0,46.67
2018-01-01 11:00:00,26951.0,46.99
2018-01-01 12:00:00,25704.0,44.16
2018-01-01 13:00:00,24619.0,45.26
2018-01-01 14:00:00,24462.0,47.84
2018-01-01 15:00:00,25641.0,50.1
2018-01-01 16:00:00,28437.0,54.3
2018-01-01 17:00:00,29306.0,51.91
2018-01-01 18:00:00,30026.0,51.38
2018-01-01 19:00:00,29421.0,49.2
2018-01-01 20:00:00,28143.0,45.73
2018-01-01 21:00:00,26158.0,44.84
2018-01-01 22:00:00,23894.0,38.11
2018-01-01 23:00:00,21288.0,19.19
2018-01-02 00:00:00,19610.0,14.99
2018-01-02 01:00:00,18897.0,11.0
2018-01-02 02:00:00,18642.0,10.0
2018-01-02 03:00:00,18996.0,11.83
2018-01-02 04:00:00,20627.0,14.99
2018-01-02 05:00:00,24788.0,40.6
2018-01-02 06:00:00,28974.0,46.99
2018-01-02 07:00:00,33188.0,47.95
2018-01-02 08:00:00,36344.0,49.9
2018-01-02 09:00:00,36772.0,50.0
2018-01-02 10:00:00,36663.0,49.7
2018-01-02 11:00:00,35771.0,48.16
2018-01-02 12:00:00,34421.0,47.24
2018-01-02 13:00:00,34686.0,46.1
2018-01-02 14:00:00,34930.0,47.6
2018-01-02 15:00:00,36315.0,50.45
2018-01-02 16:00:00,39816.0,54.9
2018-01-02 17:00:00,39814.0,57.18
2018-01-02 18:00:00,39142.0,54.9
2018-01-02 19:00:00,36928.0,51.2
2018-01-02 20:00:00,34148.0,48.82
2018-01-02 21:00:00,30520.0,45.14
2018-01-02 22:00:00,27368.0,40.09
2018-01-02 23:00:00,24135.0,42.75
2018-01-03 00:00:00,22494.0,35.02
2018-01-03 01:00:00,21478.0,28.85
2018-01-03 02:00:00,21231.0,28.0
2018-01-03 03:00:00,21406.0,35.02
2018-01-03 04:00:00,22924.0,44.49
2018-01-03 05:00:00,26930.0,50.65
2018-01-03 06:00:00,31574.0,67.0
2018-01-03 07:00:00,35789.0,70.0
2018-01-03 08:00:00,38143.0,68.0
2018-01-03 09:00:00,38228.0,55.7
2018-01-03 10:00:00,37698.0,53.3
2018-01-03 11:00:00,35823.0,52.61
2018-01-03 12:00:00,35463.0,50.65
2018-01-03 13:00:00,36567.0,53.3
2018-01-03 14:00:00,37512.0,54.9
2018-01-03 15:00:00,38767.0,59.0
2018-01-03 16:00:00,41368.0,70.0
2018-01-03 17:00:00,41185.0,67.18
2018-01-03 18:00:00,40255.0,62.6
2018-01-03 19:00:00,38043.0,57.71
2018-01-03 20:00:00,34899.0,53.3
2018-01-03 21:00:00,31355.0,49.7
2018-01-03 22:00:00,28017.0,44.15
2018-01-03 23:00:00,24710.0,32.5
2018-01-04 00:00:00,22740.0,23.23
2018-01-04 01:00:00,21863.0,18.22
2018-01-04 02:00:00,21512.0,17.3
2018-01-04 03:00:00,21695.0,18.39
2018-01-04 04:00:00,23128.0,33.67
2018-01-04 05:00:00,26975.0,44.39
2018-01-04 06:00:00,31646.0,49.78
2018-01-04 07:00:00,35798.0,50.25
2018-01-04 08:00:00,37808.0,50.8
2018-01-04 09:00:00,37884.0,50.0
2018-01-04 10:00:00,36922.0,50.1
2018-01-04 11:00:00,35708.0,46.85
2018-01-04 12:00:00,34851.0,46.5
2018-01-04 13:00:00,34863.0,48.42
2018-01-04 14:00:00,36040.0,50.57
2018-01-04 15:00:00,37792.0,51.25
2018-01-04 16:00:00,40767.0,55.0
2018-01-04 17:00:00,40489.0,55.0
2018-01-04 18:00:00,39873.0,54.1
2018-01-04 19:00:00,37464.0,51.97
2018-01-04 20:00:00,34694.0,47.97
2018-01-04 21:00:00,31361.0,44.89
2018-01-04 22:00:00,28259.0,37.1
2018-01-04 23:00:00,25220.0,44.15
2018-01-05 00:00:00,23391.0,39.8
2018-01-05 01:00:00,22396.0,31.98
2018-01-05 02:00:00,22069.0,30.12
2018-01-05 03:00:00,22133.0,34.5
2018-01-05 04:00:00,23723.0,40.7
2018-01-05 05:00:00,27632.0,48.99
2018-01-05 06:00:00,32085.0,55.35
2018-01-05 07:00:00,36074.0,60.6
2018-01-05 08:00:00,38266.0,57.5
2018-01-05 09:00:00,38671.0,55.35
2018-01-05 10:00:00,37561.0,51.54
2018-01-05 11:00:00,36337.0,51.53
2018-01-05 12:00:00,35495.0,50.21
2018-01-05 13:00:00,36226.0,52.09
2018-01-05 14:00:00,36492.0,55.35
2018-01-05 15:00:00,37672.0,56.7
2018-01-05 16:00:00,40214.0,72.2
2018-01-05 17:00:00,40447.0,72.2
2018-01-05 18:00:00,39710.0,69.41
2018-01-05 19:00:00,37031.0,55.35
2018-01-05 20:00:00,34077.0,51.55
2018-01-05 21:00:00,30751.0,49.78
2018-01-05 22:00:00,27823.0,46.07
2018-01-05 23:00:00,24933.0,46.99
2018-01-06 00:00:00,23004.0,46.01
2018-01-06 01:00:00,21712.0,44.72
2018-01-06 02:00:00,21105.0,44.08
2018-01-06 03:00:00,20997.0,42.67
2018-01-06 04:00:00,21178.0,30.0
2018-01-06 05:00:00,22498.0,38.7
2018-01-06 06:00:00,24189.0,45.0
2018-01-06 07:00:00,25940.0,44.72
2018-01-06 08:00:00,27769.0,46.8
2018-01-06 09:00:00,29003.0,50.0
2018-01-06 10:00:00,29502.0,50.22
2018-01-06 11:00:00,29344.0,50.22
2018-01-06 12:00:00,27615.0,49.41
2018-01-06 13:00:00,26889.0,49.41
2018-01-06 14:00:00,27158.0,49.78
2018-01-06 15:00:00,28766.0,50.44
2018-01-06 16:00:00,32276.0,56.85
2018-01-06 17:00:00,32465.0,56.0
2018-01-06 18:00:00,33090.0,53.48
2018-01-06 19:00:00,31895.0,50.44
2018-01-06 20:00:00,29827.0,49.78
2018-01-06 21:00:00,27569.0,46.93
2018-01-06 22:00:00,25208.0,44.89
2018-01-06 23:00:00,22352.0,46.15
2018-01-07 00:00:00,20479.0,40.0
2018-01-07 01:00:00,19414.0,37.1
2018-01-07 02:00:00,19070.0,32.0
2018-01-07 03:00:00,18956.0,35.0
2018-01-07 04:00:00,19540.0,27.1
2018-01-07 05:00:00,20822.0,37.31
2018-01-07 06:00:00,22213.0,44.04
2018-01-07 07:00:00,23561.0,45.0
2018-01-07 08:00:00,25956.0,46.55
2018-01-07 09:00:00,27313.0,49.72
2018-01-07 10:00:00,27983.0,49.41
2018-01-07 11:00:00,28019.0,49.41
2018-01-07 12:00:00,26847.0,47.6
2018-01-07 13:00:00,26339.0,47.53
2018-01-07 14:00:00,26480.0,49.41
2018-01-07 15:00:00,27804.0,51.68
2018-01-07 16:00:00,30937.0,54.84
2018-01-07 17:00:00,32147.0,52.76
2018-01-07 18:00:00,32628.0,52.76
2018-01-07 19:00:00,31629.0,51.0
2018-01-07 20:00:00,29771.0,49.41
2018-01-07 21:00:00,27111.0,45.0
2018-01-07 22:00:00,24216.0,41.5
2018-01-07 23:00:00,22559.0,39.36
2018-01-08 00:00:00,21001.0,28.7
2018-01-08 01:00:00,20313.0,23.69
2018-01-08 02:00:00,20086.0,20.99
2018-01-08 03:00:00,20554.0,25.0
2018-01-08 04:00:00,22900.0,30.88
2018-01-08 05:00:00,28805.0,45.94
2018-01-08 06:00:00,35723.0,50.0
2018-01-08 07:00:00,40316.0,52.25
2018-01-08 08:00:00,42473.0,52.31
2018-01-08 09:00:00,42489.0,52.31
2018-01-08 10:00:00,42219.0,52.3
2018-01-08 11:00:00,40023.0,51.86
2018-01-08 12:00:00,39863.0,51.86
2018-01-08 13:00:00,41140.0,53.0
2018-01-08 14:00:00,41676.0,53.0
2018-01-08 15:00:00,41847.0,52.94
2018-01-08 16:00:00,43175.0,55.0
2018-01-08 17:00:00,42218.0,55.0
2018-01-08 18:00:00,40998.0,52.93
2018-01-08 19:00:00,38676.0,52.25
2018-01-08 20:00:00,36037.0,50.62
2018-01-08 21:00:00,32178.0,47.0
2018-01-08 22:00:00,28874.0,45.19
2018-01-08 23:00:00,26114.0,39.35
2018-01-09 00:00:00,24456.0,36.4
2018-01-09 01:00:00,23532.0,35.9
2018-01-09 02:00:00,23344.0,34.0
2018-01-09 03:00:00,23613.0,35.35
2018-01-09 04:00:00,25415.0,38.9
2018-01-09 05:00:00,30683.0,49.0
2018-01-09 06:00:00,37108.0,55.9
